"model","price","objem","age","tachometer","seo_name","kombi","district","district_id","district_seo_name","entity_id","img_url","index"
"fabia",327723,1,2.65297741273101,9927,"benzin",0,"Pardubice",32,"pardubice",32,"http://d19-a.sdn.cz/d_19/c_img_QK_E3/nM7NuB.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",19
"fabia",159900,1.4,8.1533196440794,63278,"benzin",0,"Hlavní město Praha",47,"hlavni-mesto-praha",47,"http://d19-a.sdn.cz/d_19/c_img_gV_s/vcEIvl.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",20
"fabia",259000,1.4,5.40451745379877,71006,"nafta",1,"Hlavní město Praha",47,"hlavni-mesto-praha",47,"http://d19-a.sdn.cz/d_19/c_img_gY_q/Qm4I5u.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",21
"fabia",399900,1,1.48665297741273,16638,"benzin",1,"Hlavní město Praha",47,"hlavni-mesto-praha",47,"http://d19-a.sdn.cz/d_19/c_img_QO_Ey/9irCm0.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",22
"fabia",278000,1,3.65503080082136,131643,"benzin",1,"Plzeň-město",12,"plzen-mesto",12,"http://d19-a.sdn.cz/d_19/c_img_QP_EV/3bWCQO.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",23
"fabia",159877,1.4,11.9014373716632,105800,"benzin",0,"Ostrava-město",65,"ostrava-mesto",65,"http://d19-a.sdn.cz/d_19/c_img_QI_EA/Os6DGu.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",24
"fabia",99877,1.2,10.3189596167009,144300,"benzin",0,"Ostrava-město",65,"ostrava-mesto",65,"http://d19-a.sdn.cz/d_19/c_img_gR_q/hxMIWB.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",25
"fabia",100000,1.4,13.5140314852841,172430,"nafta",0,"Hlavní město Praha",47,"hlavni-mesto-praha",47,"http://d19-a.sdn.cz/d_19/c_img_QQ_Er/3qTBjr.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",26
"fabia",420000,1,1.43189596167009,48221,"benzin",0,"Hlavní město Praha",47,"hlavni-mesto-praha",47,"http://d19-a.sdn.cz/d_19/c_img_QM_E0/uECBN8.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",27
"fabia",315000,1.2,6.40383299110198,43975,"benzin",0,"Plzeň-město",12,"plzen-mesto",8389,"http://d19-a.sdn.cz/d_19/c_img_QO_Er/O4gCbF.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",28
"fabia",198000,1.2,6.90212183436003,189505,"benzin",0,"Přerov",43,"prerov",43,"http://d19-a.sdn.cz/d_19/c_img_QN_Er/8fcIgl.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",29
"fabia",404999,1,1.57152635181383,9100,"benzin",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_gT_s/CtFBct.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",30
"fabia",204999,1,4.98562628336756,154150,"benzin",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_QL_Ex/bQoOFf.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",31
